Maze Name,Duration(s)
T-Maze A,8.757205724716187
T-Maze A,8.71698522567749
T-Maze A,8.756630182266235
T-Maze B,9.350384712219238
T-Maze B,9.481355905532837
T-Maze B,9.835837364196777
Total Duration: 54.905128479003906(s)
